Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year
,金融城,有,中楼层 (共23层),106101152050,4室2厅,898,东 西,其他,193.68㎡,2012年建
,驷马桥,无,中楼层 (共5层),106101150337,2室1厅,70,南,其他,56.18㎡,1999年建
,动物园,有,高楼层 (共18层),106101150281,2室1厅,96,北,精装,49.25㎡,2011年建
,攀成钢,有,低楼层 (共33层),106101141068,3室1厅,300,东南,其他,106.55㎡,2009年建
,东升镇,暂无数据,中楼层 (共6层),106101135835,4室2厅,138,南,简装,153.99㎡,未知年建
,芳草,有,高楼层 (共7层),106101118400,3室2厅,200,南,其他,105.22㎡,2001年建
,驷马桥,有,中楼层 (共18层),106101125297,3室2厅,190,西北,精装,88.32㎡,2012年建
,东湖,有,低楼层 (共32层),106101123468,3室2厅,270,西南,精装,90.33㎡,2011年建
,金牛万达,有,低楼层 (共18层),106101111550,2室1厅,102,南,其他,74.95㎡,2005年建
,宽窄巷子,有,低楼层 (共18层),106101106920,4室2厅,380,东北,其他,209.19㎡,2000年建
,城南宜家,有,低楼层 (共31层),106101091066,2室2厅,235,东,其他,95.27㎡,2013年建
,攀成钢,有,中楼层 (共33层),106101103267,2室2厅,208,南,其他,81.74㎡,2010年建
,五大花园,有,低楼层 (共20层),106101083464,2室1厅,95,西,其他,56.55㎡,2012年建
,驷马桥,有,高楼层 (共21层),106101059798,2室1厅,128,西南,其他,71.07㎡,2016年建
,城南宜家,有,高楼层 (共18层),106101072986,3室1厅,214,南,精装,87.28㎡,2009年建
,东湖,有,中楼层 (共30层),106101060954,3室2厅,235,西南,精装,86.56㎡,2009年建
,花都大道,有,低楼层 (共33层),106101049192,4室2厅,145,东北,精装,123㎡,2014年建
,东苑,有,中楼层 (共32层),106101044567,3室2厅,265,南,简装,104.75㎡,2008年建
,驷马桥,有,高楼层 (共22层),106101025511,3室2厅,148,东南,简装,91.05㎡,2009年建
,城南宜家,有,中楼层 (共18层),106101008457,3室2厅,229,北,其他,120.63㎡,2010年建
,红光,有,高楼层 (共27层),106101012866,3室2厅,105,东南,其他,90.98㎡,2008年建
,东郊记忆,有,中楼层 (共33层),106100998516,3室2厅,168,南,其他,90.18㎡,2009年建
,蜀汉路,无,高楼层 (共7层),106100997456,3室2厅,130,东南,其他,89.52㎡,2000年建
,中德,有,低楼层 (共33层),106100993414,2室1厅,148,北,其他,78.01㎡,2013年建
,金沙,有,中楼层 (共33层),106100826730,1室1厅,75,西北,其他,57.85㎡,2012年建
,川音,无,高楼层 (共7层),106100814336,3室2厅,168,东,毛坯,133.3㎡,1997年建
,温江大学城,有,中楼层 (共25层),106100825518,4室2厅,190,东 西,毛坯,184.49㎡,2009年建
,一品天下,暂无数据,高楼层 (共7层),106100788906,2室2厅,116,东北,其他,73.62㎡,未知年建
,万象城,有,中楼层 (共32层),106101139074,2室1厅,195,东,精装,86.17㎡,2009年建
,光华大道沿线,有,高楼层 (共25层),106101326774,2室1厅,92,东南,简装,62.84㎡,2012年建
,卓锦城,有,低楼层 (共40层),106101637310,4室2厅,398,东北,毛坯,87.2㎡,2015年建
,光华大道沿线,有,低楼层 (共24层),106100833018,3室2厅,170,南,毛坯,129.5㎡,2009年建
,公兴,无,低楼层 (共6层),106101635330,3室2厅,130,南,其他,126.7㎡,2005年建
,光华大道沿线,无,中楼层 (共6层),106101439094,3室2厅,125,东,精装,124.48㎡,2006年建
,大面,无,低楼层 (共6层),106101477778,6室2厅,388,南 北,精装,209.39㎡,2013年建
,攀成钢,有,中楼层 (共30层),106101413472,3室2厅,900,南 北,其他,345.37㎡,2015年建
,天府长城,有,中楼层 (共30层),106101379655,3室2厅,950,西南,其他,274.75㎡,2011年建
,丽都,有,低楼层 (共10层),106101379021,4室2厅,650,东北,其他,184.66㎡,2004年建
,八里小区,无,低楼层 (共6层),106101368493,3室2厅,195,西南,简装,103.99㎡,2005年建
,新双楠,有,低楼层 (共13层),106101352693,3室2厅,300,东,精装,149.7㎡,2006年建
,大源,有,中楼层 (共32层),106101351332,4室2厅,530,西,其他,183.12㎡,2013年建
,猛追湾,有,低楼层 (共11层),106101316943,4室2厅,860,西南,其他,222.05㎡,2015年建
,橡树湾,有,中楼层 (共33层),106101272555,4室2厅,228,东南,其他,126㎡,2013年建
,东升镇,暂无数据,中楼层 (共6层),106101259189,4室2厅,137,东南 南,其他,161.22㎡,未知年建
,神仙树,无,中楼层 (共6层),106101263541,3室2厅,290,南,其他,121.84㎡,2002年建
,金牛万达,有,中楼层 (共32层),106101261983,2室1厅,123,东,简装,57.74㎡,2012年建
,新都城区,无,高楼层 (共5层),106101256643,4室2厅,163,东南,其他,232.09㎡,未知年建
,中海国际,无,中楼层 (共6层),106101258224,4室2厅,290,南,其他,165.38㎡,2007年建
,石人小区,无,中楼层 (共7层),106101252116,4室1厅,220,西南,其他,185.9㎡,1998年建
,三官堂,有,高楼层 (共33层),106101251733,4室2厅,440,西,精装,151.83㎡,2009年建
,大丰,有,中楼层 (共31层),106101242749,4室2厅,285,南 北,其他,180.57㎡,2008年建
,一品天下,暂无数据,中楼层 (共7层),106101225944,1室1厅,57,东南,其他,44.74㎡,未知年建
,航空港,有,低楼层 (共23层),106101217471,2室2厅,104,东北,其他,67.95㎡,2009年建
,大面,有,中楼层 (共29层),106101133395,2室2厅,118,南,其他,82.09㎡,2012年建
,南湖,有,低楼层 (共34层),106101128616,3室2厅,218,东南,毛坯,142.13㎡,2010年建
,马鞍路,无,高楼层 (共6层),106101126603,2室1厅,100,东南,精装,65.34㎡,2000年建
,外双楠,有,低楼层 (共12层),106101123808,3室2厅,136,南 北,其他,84.18㎡,2003年建
,丽都,有,低楼层 (共18层),106101118331,2室1厅,145,东南,其他,78.44㎡,2011年建
,驷马桥,有,低楼层 (共18层),106101121252,3室2厅,190,南,其他,136.93㎡,2012年建
,南湖,有,高楼层 (共34层),106101106871,3室2厅,160,北,其他,97.8㎡,2010年建
,营门口,暂无数据,中楼层 (共7层),106101112123,2室1厅,75,西南,其他,56.4㎡,2000年建
,万象城,有,中楼层 (共26层),106101102619,2室1厅,165,西,精装,83.41㎡,2008年建
,一品天下,无,低楼层 (共7层),106101100425,2室1厅,73,西南,其他,55㎡,未知年建
,国色天乡,暂无数据,中楼层 (共13层),106101095350,3室2厅,95,东南,其他,106.55㎡,未知年建
,阳光城,暂无数据,高楼层 (共6层),106101082972,4室2厅,157,南,其他,158.51㎡,未知年建
,驷马桥,有,高楼层 (共21层),106101078136,2室2厅,140,南,其他,75.77㎡,2016年建
,成渝立交,有,高楼层 (共33层),106101078714,3室2厅,177,东,其他,85.68㎡,2008年建
,花牌坊,有,中楼层 (共23层),106101077752,3室2厅,230,东南,精装,173㎡,2003年建
,南湖,无,中楼层 (共6层),106101066182,3室2厅,146,北,精装,110.36㎡,2008年建
,沙河堡,有,中楼层 (共34层),106101059926,3室1厅,166,南,其他,79.17㎡,2011年建
,东湖,有,中楼层 (共32层),106101031482,3室2厅,285,东南,精装,88.79㎡,2011年建
,一品天下,有,中楼层 (共32层),106101041282,3室2厅,265,北,其他,107.77㎡,2008年建
,南湖,有,高楼层 (共33层),106101033616,4室2厅,220,东,其他,138.08㎡,2013年建
,国色天乡,有,中楼层 (共6层),106101019981,3室2厅,86,东南,其他,117.09㎡,2012年建
,武侯立交,有,中楼层 (共13层),106101031277,3室2厅,160,东南,其他,87.3㎡,2008年建
,花牌坊,无,高楼层 (共7层),106101018749,2室2厅,169,东北,其他,115㎡,2000年建
,营门口,无,中楼层 (共6层),106101018903,2室2厅,117,东南,其他,74.06㎡,2002年建
,海洋公园,有,中楼层 (共31层),106101006349,4室2厅,345,西北,其他,200.33㎡,2015年建
,攀成钢,有,中楼层 (共33层),106101010449,4室2厅,345,西南 东北,其他,113.11㎡,2015年建
,麓山,无,高楼层 (共8层),106101005542,2室2厅,170,东南,其他,102.94㎡,2008年建
,大面,有,高楼层 (共34层),106100998831,4室2厅,163,东,其他,125.08㎡,2013年建
,广都,有,中楼层 (共11层),106100998534,4室2厅,220,南,其他,148.18㎡,2007年建
,双流城区,有,低楼层 (共14层),106101333476,2室1厅,88,东南,其他,68㎡,2012年建
,大源,有,中楼层 (共32层),106101339720,4室2厅,450,东北,其他,157㎡,2013年建
,猛追湾,有,中楼层 (共11层),106101325862,3室2厅,255,东北,其他,130.25㎡,2003年建
